seqnames	start	end	width	strand	Conc	Conc_WT	Conc_KO	Fold	p.value	FDR
chr8	19554241	19554790	550	*	4.98	3	5.63	-2.62	1.9e-07	0.000412
chr18	14438349	14438704	356	*	2.78	3.85	0.27	3.58	2.13e-07	0.000445
chr13	114907794	114908526	733	*	4.37	2.42	5	-2.58	2.98e-07	6e-04
chr17	18968215	18969137	923	*	4.84	3.03	5.46	-2.43	4.24e-07	0.000823
chr16	40620971	40621621	651	*	4.64	2.3	5.32	-3.03	4.5e-07	0.000823
chr9	115358052	115358752	701	*	3.88	1.56	4.55	-2.99	4.57e-07	0.000823
chr18	5059035	5059473	439	*	3.24	4.2	1.43	2.77	4.76e-07	0.000823
chr10	110931247	110931482	236	*	2.81	3.86	0.52	3.33	4.79e-07	0.000823
chr14	8251068	8251557	490	*	3.69	4.62	2.05	2.57	5.14e-07	0.000844
chr3	104795670	104796121	452	*	3.63	4.6	1.8	2.8	5.2e-07	0.000844
chr4	136754202	136754523	322	*	2.27	3.37	-0.48	3.85	5.35e-07	0.000846
chr5	37523009	37523617	609	*	3.32	0.12	4.05	-3.94	6.89e-07	0.00104
chr1	134504827	134505411	585	*	3.51	1.14	4.2	-3.05	7.19e-07	0.00104
chr13	84646857	84647711	855	*	3.47	0.61	4.19	-3.58	7.29e-07	0.00104
chr11	28076081	28076901	821	*	5.04	3.31	5.65	-2.34	7.32e-07	0.00104
chr2	160627330	160627765	436	*	2.97	4.01	0.68	3.33	8.17e-07	0.00114
chr13	35035532	35036123	592	*	3.61	4.59	1.72	2.87	8.86e-07	0.0012
chr11	92922654	92923372	719	*	3.32	0.39	4.05	-3.66	9.43e-07	0.00125
chr1	185105282	185105919	638	*	4.04	1.97	4.7	-2.73	1.33e-06	0.00172
chr18	43421574	43422170	597	*	3.06	-0.25	3.81	-4.05	1.46e-06	0.00186
chr1	33436242	33436730	489	*	2.66	3.7	0.43	3.27	1.67e-06	0.00207
chr4	93481237	93481836	600	*	3.86	1.54	4.54	-3	1.73e-06	0.00211
chr7	19300494	19302456	1963	*	6.25	4.76	6.82	-2.06	1.89e-06	0.00223
chr17	19444693	19445396	704	*	4.49	2.83	5.09	-2.27	1.91e-06	0.00223
chr5	129555827	129556309	483	*	3.03	4.04	1	3.04	1.97e-06	0.00226
chr4	39113133	39113862	730	*	3.75	0.63	4.48	-3.85	2.39e-06	0.00269
chr10	97111751	97112100	350	*	3.64	1.54	4.3	-2.76	2.52e-06	0.00278
chr6	136468404	136468989	586	*	6.51	5.05	7.07	-2.02	2.66e-06	0.00288
chr13	83458699	83459108	410	*	4.28	5.19	2.72	2.47	2.77e-06	0.00295
chr8	126200006	126200679	674	*	5.77	4.19	6.36	-2.16	2.96e-06	0.00309
chr12	82214976	82215391	416	*	3.91	1.94	4.55	-2.61	3.15e-06	0.00323
chr10	26358671	26359291	621	*	3.47	4.39	1.86	2.53	3.27e-06	0.00329
chr11	52046225	52047016	792	*	4.75	3.13	5.34	-2.21	3.92e-06	0.00389
chr2	90021353	90021923	571	*	3.95	4.82	2.58	2.24	4.15e-06	0.00399
chr17	73853801	73854097	297	*	4.11	2.11	4.76	-2.65	4.18e-06	0.00399
chr4	145305751	145306274	524	*	3.38	1.22	4.04	-2.82	4.23e-06	0.00399
GL456359.1	19249	20896	1648	*	6.95	5.67	7.48	-1.81	4.39e-06	0.00408
chr18	6389738	6390469	732	*	5.13	3.59	5.71	-2.12	4.5e-06	0.00411
chr12	107119155	107119384	230	*	1.98	3.12	-1.37	4.48	4.59e-06	0.00413
chr13	112779863	112780206	344	*	3.32	4.27	1.58	2.69	5.07e-06	0.00449
chr12	61994073	61995161	1089	*	4.9	3.31	5.49	-2.18	5.27e-06	0.0046
chr15	42100785	42101017	233	*	2.7	3.74	0.4	3.34	5.38e-06	0.00463
chr1	118980693	118980977	285	*	2.29	3.37	-0.35	3.72	5.6e-06	0.00474
chr12	58067418	58068313	896	*	3.08	-0.13	3.82	-3.95	5.77e-06	0.00478
chr11	33088038	33088739	702	*	3.89	4.86	2.08	2.78	5.92e-06	0.00478
chr9	21698803	21699181	379	*	3.18	4.19	1.1	3.1	5.94e-06	0.00478
chr14	57972034	57972521	488	*	3.63	4.55	1.99	2.57	5.97e-06	0.00478
chr2	150268116	150269389	1274	*	5.24	1.2	6.01	-4.81	6.25e-06	0.00493
chr2	133684211	133684656	446	*	3.38	0.08	4.12	-4.04	6.39e-06	0.00498
chr8	10798363	10798762	400	*	2.19	3.25	-0.26	3.51	6.99e-06	0.00538
chr14	16721411	16721802	392	*	3.12	0.08	3.85	-3.77	7.18e-06	0.0054
chr1	145138563	145139538	976	*	3.19	0.58	3.89	-3.31	7.21e-06	0.0054
chr3	64831498	64832086	589	*	3.41	0.45	4.13	-3.68	7.3e-06	0.0054
chr3	149146689	149147033	345	*	2.85	0.12	3.56	-3.45	7.46e-06	0.00545
chr14	47222870	47223350	481	*	3.26	4.18	1.69	2.49	7.87e-06	0.00568
chr4	67637342	67637630	289	*	3.73	1.8	4.36	-2.56	7.97e-06	0.00568
chr19	29702819	29703313	495	*	3.21	4.1	1.73	2.37	8.12e-06	0.00572
chr8	114839982	114840486	505	*	4.15	4.96	2.96	2.01	8.66e-06	0.00603
chr3	110889881	110890450	570	*	4.23	2.59	4.83	-2.24	9.05e-06	0.00622
chr5	144814897	144815219	323	*	2.56	3.57	0.5	3.06	9.52e-06	0.00647
chr4	9708606	9709091	486	*	2.87	-0.67	3.62	-4.28	1.01e-05	0.00666
chr8	13428201	13428556	356	*	2.43	3.49	-0.01	3.5	1.01e-05	0.00666
chr13	33435008	33435822	815	*	3.42	1.38	4.06	-2.69	1.01e-05	0.00666
chr14	69040142	69040419	278	*	2.11	3.19	-0.54	3.73	1.03e-05	0.00669
chr13	83059703	83060162	460	*	2.71	-0.37	3.44	-3.82	1.04e-05	0.0067
chr2	43739429	43739852	424	*	3.62	1.37	4.3	-2.93	1.06e-05	0.00672
chr11	110903654	110904420	767	*	4.59	2.74	5.21	-2.47	1.09e-05	0.00685
chr9	16702292	16703655	1364	*	6.19	4.95	6.7	-1.75	1.15e-05	0.00717
chr10	86847038	86847458	421	*	4.17	2.42	4.78	-2.37	1.18e-05	0.00727
chr3	21225024	21225376	353	*	3	3.94	1.3	2.64	1.23e-05	0.00746
chr11	63391394	63391925	532	*	2.95	0.12	3.66	-3.55	1.24e-05	0.00747
chr5	103404616	103405033	418	*	3.11	0.66	3.8	-3.14	1.55e-05	0.00923
chr16	42456439	42457180	742	*	2.88	0.08	3.6	-3.52	1.67e-05	0.00986
chr11	56063761	56063978	218	*	2.53	3.49	0.73	2.75	1.7e-05	0.00993
chr5	25092660	25093051	392	*	3.72	4.56	2.42	2.13	1.78e-05	0.0103
chr10	11253748	11254206	459	*	2.46	3.45	0.52	2.92	1.82e-05	0.0104
chr17	66878183	66878434	252	*	3.33	4.23	1.81	2.42	1.92e-05	0.0109
chr2	29718663	29718955	293	*	1.97	3.05	-0.66	3.7	1.94e-05	0.0109
chr6	37046103	37046947	845	*	5.32	3.98	5.86	-1.88	1.99e-05	0.0111
chr7	7277449	7278558	1110	*	5.14	3.85	5.67	-1.82	2.08e-05	0.0115
chr8	48122779	48123337	559	*	4.74	3.34	5.29	-1.96	2.12e-05	0.0116
chr17	82377164	82377551	388	*	3.16	1.07	3.82	-2.75	2.17e-05	0.0116
chr6	134148106	134148340	235	*	2.77	3.75	0.89	2.86	2.17e-05	0.0116
chr17	94424047	94425014	968	*	3.47	1.39	4.12	-2.73	2.23e-05	0.0118
chr6	94613227	94613810	584	*	4.15	4.93	3.01	1.92	2.28e-05	0.0119
chr14	86011222	86011846	625	*	3.46	1.38	4.12	-2.74	2.3e-05	0.0119
chr15	82027575	82028027	453	*	2.89	3.84	1.17	2.67	2.3e-05	0.0119
chr12	99642420	99642824	405	*	4.54	2.84	5.15	-2.31	2.31e-05	0.0119
chr5	72130892	72131659	768	*	3.88	2.01	4.51	-2.49	2.38e-05	0.0121
chr6	145830214	145830505	292	*	3.27	1.29	3.91	-2.62	2.44e-05	0.0121
chr7	98076757	98077145	389	*	2.88	3.86	0.99	2.88	2.46e-05	0.0121
chr19	40788496	40788918	423	*	3.82	4.77	2.1	2.67	2.46e-05	0.0121
chr8	126205867	126206378	512	*	3.06	0.42	3.76	-3.34	2.47e-05	0.0121
chr3	138858843	138859447	605	*	4.38	5.18	3.24	1.94	2.57e-05	0.0125
chr13	56554386	56554983	598	*	3.06	0.78	3.73	-2.95	2.71e-05	0.0131
chr3	18613388	18614083	696	*	5.71	4.56	6.21	-1.65	2.74e-05	0.0131
chr12	94072558	94073141	584	*	4.1	2.13	4.74	-2.61	2.78e-05	0.0132
chr9	78879083	78879394	312	*	3.69	1.61	4.35	-2.73	2.85e-05	0.0135
chr1	38677112	38677601	490	*	3.92	1.89	4.57	-2.68	2.91e-05	0.0136
chr6	32196887	32197292	406	*	2.92	3.89	1.08	2.8	3.01e-05	0.014
chr11	47170908	47171454	547	*	4.01	1.78	4.68	-2.9	3.06e-05	0.0141
chr5	72743114	72743621	508	*	3.31	1.03	3.99	-2.95	3.14e-05	0.0143
chr6	55294828	55295139	312	*	3.46	4.34	2.03	2.3	3.33e-05	0.0147
chr6	114680537	114681198	662	*	3.36	1.45	3.99	-2.53	3.33e-05	0.0147
chr3	28244172	28244932	761	*	4.1	2.55	4.68	-2.12	3.35e-05	0.0147
chr15	60119832	60120481	650	*	3.94	2.33	4.53	-2.2	3.36e-05	0.0147
chr13	45371737	45372129	393	*	3.16	0.89	3.84	-2.95	3.38e-05	0.0147
chr18	43650204	43650655	452	*	3.14	0.59	3.84	-3.24	3.39e-05	0.0147
chr6	102746518	102746896	379	*	2.81	0.38	3.5	-3.12	3.39e-05	0.0147
chr12	14151001	14151547	547	*	3.56	1.74	4.18	-2.44	3.54e-05	0.0151
chr6	77688682	77689304	623	*	2.8	-0.13	3.52	-3.65	3.55e-05	0.0151
chr16	70797969	70798461	493	*	3.21	1.12	3.86	-2.74	3.74e-05	0.0159
chr14	87091205	87091863	659	*	2.96	0.77	3.63	-2.86	3.98e-05	0.0167
chr6	107748693	107749518	826	*	4.73	3.34	5.28	-1.94	4.19e-05	0.0173
chr1	10210933	10211557	625	*	2.66	-0.37	3.39	-3.76	4.2e-05	0.0173
chr7	13065129	13065641	513	*	2.37	-0.67	3.1	-3.76	4.22e-05	0.0173
chr1	128327191	128327821	631	*	3.98	4.79	2.78	2.01	4.22e-05	0.0173
chr16	20000376	20000737	362	*	3.38	1.56	4	-2.45	4.32e-05	0.0174
chr18	39281979	39282663	685	*	4.48	2.95	5.06	-2.11	4.36e-05	0.0174
chr12	58268038	58269153	1116	*	4.91	3.63	5.44	-1.81	4.38e-05	0.0174
chr17	51891748	51891974	227	*	2.77	-0.13	3.49	-3.62	4.39e-05	0.0174
chr2	148718945	148719855	911	*	4.22	2.8	4.78	-1.98	4.42e-05	0.0174
chr10	6717229	6717880	652	*	3.19	0.62	3.89	-3.27	4.43e-05	0.0174
chr15	81859616	81860215	600	*	4.98	3.65	5.52	-1.87	4.61e-05	0.0178
chr5	143547374	143547862	489	*	4.07	2.47	4.66	-2.19	4.61e-05	0.0178
chr4	47842051	47842595	545	*	3.26	0.42	3.98	-3.56	4.7e-05	0.0181
chr1	111394364	111395110	747	*	5.01	3.33	5.61	-2.28	4.82e-05	0.0184
chr14	46682902	46683241	340	*	2.69	3.65	0.91	2.74	4.87e-05	0.0185
chr19	45205863	45206423	561	*	2.63	-0.37	3.36	-3.73	5.05e-05	0.019
chr11	63146567	63146921	355	*	3.01	0.84	3.68	-2.84	5.08e-05	0.019
chr17	19435047	19435336	290	*	2.98	0.42	3.68	-3.26	5.38e-05	0.02
chr10	99358327	99358633	307	*	3	0.44	3.69	-3.26	5.44e-05	0.0201
chr12	107762224	107762457	234	*	2.66	3.59	1	2.6	5.71e-05	0.021
chr8	41966805	41967018	214	*	2.16	3.16	0.13	3.03	5.82e-05	0.0212
chrX	50410282	50411089	808	*	3.66	1.99	4.26	-2.28	5.85e-05	0.0212
chr1	138327438	138328909	1472	*	3.85	2.13	4.46	-2.33	5.97e-05	0.0216
chr10	66994701	66995099	399	*	2.31	3.31	0.28	3.03	6.17e-05	0.022
chr3	135628860	135629537	678	*	3.81	4.64	2.55	2.1	6.2e-05	0.022
chr18	62853899	62854359	461	*	2.77	3.8	0.62	3.18	6.21e-05	0.022
chr4	69058074	69058952	879	*	4.62	3.14	5.18	-2.05	6.36e-05	0.0222
chr15	78752644	78753875	1232	*	3.23	1.19	3.88	-2.69	6.37e-05	0.0222
chr10	13315893	13316231	339	*	2.49	-0.51	3.22	-3.73	6.39e-05	0.0222
chr17	45629574	45630183	610	*	3.67	4.47	2.48	1.99	6.53e-05	0.0225
chr7	92798859	92799169	311	*	2.18	3.18	0.17	3.01	6.55e-05	0.0225
chr7	34943248	34943905	658	*	3.84	4.6	2.77	1.82	6.6e-05	0.0226
chr4	117202055	117202991	937	*	5.27	3.91	5.81	-1.91	6.66e-05	0.0226
chr18	82735408	82735759	352	*	3.78	4.63	2.45	2.18	6.69e-05	0.0226
chr6	66224247	66224859	613	*	3.5	4.36	2.14	2.21	6.75e-05	0.0227
chr16	35470400	35471022	623	*	3.71	4.61	2.17	2.44	6.9e-05	0.0231
chr9	68956308	68957367	1060	*	3.71	1.8	4.34	-2.55	7.07e-05	0.0235
chr6	120930452	120930712	261	*	2.74	3.67	1.13	2.54	7.19e-05	0.0236
chr16	65472469	65472806	338	*	2.54	-0.13	3.25	-3.38	7.19e-05	0.0236
chr9	20203396	20203920	525	*	3.61	1.51	4.26	-2.75	7.33e-05	0.0237
chr17	19401422	19401917	496	*	2.95	0.96	3.59	-2.63	7.36e-05	0.0237
chr2	181429483	181429779	297	*	2.85	0.54	3.52	-2.98	7.36e-05	0.0237
chr6	122284439	122285158	720	*	4.35	2.78	4.93	-2.15	7.38e-05	0.0237
chr2	128072833	128073391	559	*	3.84	2.22	4.44	-2.22	7.49e-05	0.0239
chr12	41644938	41645308	371	*	2.45	3.45	0.4	3.05	7.72e-05	0.0244
chr3	35908999	35909545	547	*	2.67	-0.37	3.4	-3.78	7.77e-05	0.0244
chr2	155107335	155107880	546	*	4.54	3.2	5.08	-1.88	7.81e-05	0.0244
chr16	70725635	70725954	320	*	2.51	-0.67	3.25	-3.91	7.82e-05	0.0244
chr7	115597346	115598140	795	*	4.03	2.7	4.57	-1.86	8.13e-05	0.0253
chr2	14448602	14449301	700	*	5.74	4.51	6.26	-1.74	8.32e-05	0.0257
chr3	140230730	140231261	532	*	4.14	2.3	4.76	-2.47	8.5e-05	0.0261
chr7	19303864	19304416	553	*	4.87	3.46	5.42	-1.97	8.55e-05	0.0262
chr13	41436870	41437067	198	*	2.26	3.22	0.44	2.79	8.61e-05	0.0262
chr14	26357362	26357798	437	*	2.64	3.56	1.05	2.52	8.96e-05	0.027
chr12	17674374	17674840	467	*	2.61	3.58	0.78	2.79	8.96e-05	0.027
chr1	105858620	105858863	244	*	2.43	3.45	0.27	3.18	9.06e-05	0.0272
chr2	101551224	101551701	478	*	3.75	4.59	2.44	2.15	9.2e-05	0.0274
chr19	10951872	10952440	569	*	4.1	2.65	4.67	-2.02	9.26e-05	0.0274
chr3	65663094	65663467	374	*	4.38	5.11	3.39	1.72	9.3e-05	0.0274
chr1	12574133	12574622	490	*	3.15	1	3.81	-2.8	9.45e-05	0.0278
chr11	83271019	83272715	1697	*	6.84	5.36	7.4	-2.05	9.62e-05	0.0281
chr13	5779505	5779704	200	*	3.19	0.93	3.87	-2.94	9.76e-05	0.0284
chr2	78100085	78100316	232	*	2.64	3.54	1.13	2.41	9.91e-05	0.0287
chr12	19288247	19289112	866	*	4.28	5.12	2.97	2.15	0.000103	0.0294
chr10	28066513	28066755	243	*	3.12	4.03	1.59	2.44	0.000103	0.0294
chr5	80819081	80819713	633	*	3.45	1.25	4.12	-2.86	0.000103	0.0295
chr1	57839576	57840289	714	*	2.81	3.71	1.33	2.38	0.000105	0.0297
chr2	153161037	153161984	948	*	5.64	4.59	6.11	-1.53	0.000106	0.0299
chr5	88499826	88500117	292	*	3.81	4.73	2.22	2.51	0.000107	0.0302
chr10	27769368	27769937	570	*	2.67	-0.13	3.39	-3.52	0.000108	0.0302
chr9	98489416	98489888	473	*	3.42	1.28	4.08	-2.8	0.000111	0.0308
chr6	68631779	68632146	368	*	3.04	0.42	3.75	-3.33	0.000111	0.0309
chr6	51606467	51606853	387	*	2.43	-0.67	3.17	-3.83	0.000112	0.0309
chr16	95519183	95519622	440	*	3.98	4.8	2.75	2.05	0.000113	0.0311
chr11	90558227	90559067	841	*	3.38	1.44	4.01	-2.57	0.000119	0.0325
chr17	82379357	82379774	418	*	3.59	1.67	4.22	-2.55	0.00012	0.0326
chr11	87471014	87472282	1269	*	5	3.55	5.56	-2.01	0.000122	0.033
chr11	8575089	8575599	511	*	3.88	4.69	2.67	2.02	0.000123	0.033
chr17	53347597	53348302	706	*	2.99	1.02	3.63	-2.61	0.000123	0.033
chr7	89424751	89424953	203	*	1.18	2.32	-2.12	4.44	0.000124	0.033
chr6	131263907	131264415	509	*	3.97	2.63	4.51	-1.88	0.000125	0.033
chr5	120139198	120139506	309	*	3.48	4.34	2.09	2.25	0.000126	0.033
chr2	141834235	141834898	664	*	3.76	1.88	4.39	-2.5	0.000126	0.033
chr4	148914904	148915382	479	*	3.52	4.33	2.32	2.01	0.000126	0.033
chr12	68115713	68116097	385	*	2.51	-0.67	3.25	-3.91	0.000127	0.033
chr3	137016553	137017283	731	*	3.5	1.56	4.14	-2.57	0.000127	0.033
chr15	95757160	95757620	461	*	4.1	4.87	3	1.87	0.000128	0.0331
chr1	76024369	76025197	829	*	3.95	2.39	4.53	-2.14	0.000129	0.0331
chr4	24668985	24669472	488	*	2.47	-0.67	3.2	-3.87	0.000129	0.0331
chr11	109924993	109925550	558	*	2.81	0.49	3.49	-2.99	0.00013	0.0332
chr8	46698108	46698357	250	*	2.34	-0.67	3.07	-3.73	0.000131	0.0333
chr11	104361557	104362078	522	*	4.95	3.58	5.5	-1.91	0.000132	0.0333
chr3	81838066	81838428	363	*	3.66	1.77	4.29	-2.52	0.000139	0.0349
chr10	126012113	126012451	339	*	3.1	1.19	3.73	-2.54	0.000139	0.035
chr18	55106927	55107618	692	*	5.01	3.42	5.6	-2.18	0.000142	0.0354
chr7	125561196	125561507	312	*	2.99	3.93	1.31	2.63	0.000142	0.0354
chr16	90364414	90364642	229	*	2.71	3.67	0.92	2.76	0.000147	0.0362
chr14	8680257	8680850	594	*	3.49	1.35	4.15	-2.8	0.000147	0.0362
chr4	33387077	33387519	443	*	2.79	0.7	3.45	-2.74	0.000147	0.0362
chr2	106935524	106936194	671	*	3.31	1.49	3.93	-2.43	0.000149	0.0364
chr12	21172177	21172465	289	*	3.09	4.04	1.35	2.69	0.000151	0.0367
chrX	122271032	122271494	463	*	2.93	0.26	3.63	-3.37	0.000152	0.0369
chr5	103311205	103311702	498	*	3.94	1.29	4.65	-3.36	0.000153	0.0369
chr8	119946366	119946729	364	*	2.99	0.95	3.63	-2.68	0.000153	0.0369
chr1	143830791	143831246	456	*	2.71	0.72	3.35	-2.63	0.000155	0.0369
chr18	86226206	86226779	574	*	2.84	0.66	3.5	-2.84	0.000155	0.0369
chr1	92956703	92957168	466	*	3.77	2.37	4.33	-1.95	0.000156	0.0369
chr1	13615774	13616452	679	*	5.71	4.32	6.25	-1.93	0.000156	0.0369
chr9	113695582	113696035	454	*	3.23	1.57	3.83	-2.26	0.000159	0.0375
chr11	29807452	29807666	215	*	3.65	4.46	2.42	2.04	0.000165	0.0386
chr11	78094283	78095392	1110	*	4.35	3.12	4.86	-1.75	0.000171	0.0401
chr6	68704297	68704764	468	*	2.53	-0.67	3.27	-3.93	0.000174	0.0405
chr3	138275095	138275407	313	*	2.6	0.52	3.26	-2.73	0.000176	0.0405
chr9	41222713	41222946	234	*	3.56	1.64	4.19	-2.55	0.000176	0.0405
chr3	101906036	101906367	332	*	2.83	3.77	1.11	2.66	0.000177	0.0405
chr15	90716603	90717287	685	*	4.53	3.14	5.08	-1.95	0.000177	0.0405
chr7	144392029	144392560	532	*	3.08	1.18	3.71	-2.53	0.000177	0.0405
chr17	13715514	13715912	399	*	4.82	5.59	3.73	1.87	0.000181	0.0413
chr5	52288312	52288762	451	*	2.93	3.86	1.31	2.55	0.000183	0.0414
chr11	21644221	21644636	416	*	3.92	4.7	2.8	1.9	0.000185	0.0417
chr9	124075886	124076432	547	*	3.62	1.99	4.21	-2.22	0.000194	0.0434
chr8	128549835	128550081	247	*	2.23	-0.67	2.95	-3.62	0.000195	0.0434
chr18	52128513	52129134	622	*	2.35	-0.67	3.07	-3.74	0.000195	0.0434
chr6	127302698	127303086	389	*	3.39	1.69	3.99	-2.3	0.000196	0.0436
chr12	8458358	8458776	419	*	3.62	4.39	2.52	1.87	0.000198	0.0438
chr18	46047504	46047770	267	*	2.46	0.1	3.14	-3.04	0.000199	0.0439
chr12	19387313	19388247	935	*	3.4	4.24	2.08	2.17	2e-04	0.0439
chr2	146347805	146348274	470	*	3.45	4.37	1.88	2.49	0.000201	0.0439
chr14	106259454	106260107	654	*	2.66	0.45	3.33	-2.88	0.000202	0.044
chr11	77370938	77371604	667	*	4.08	2.51	4.66	-2.15	0.000203	0.044
chr15	72323091	72323588	498	*	4.02	2.74	4.55	-1.8	0.000203	0.044
chr7	6447874	6448121	248	*	3.15	4.03	1.7	2.33	0.000206	0.0443
chr14	61339298	61339951	654	*	5.35	4.2	5.84	-1.64	0.000206	0.0443
chr1	138185983	138186330	348	*	3.87	2.35	4.44	-2.09	0.000209	0.0448
chr8	81766023	81766441	419	*	4.94	3.7	5.46	-1.76	0.000211	0.0449
chr2	138320939	138321463	525	*	4.2	4.93	3.23	1.7	0.000214	0.0454
chr2	124444269	124444500	232	*	2.73	0.12	3.43	-3.31	0.000216	0.0457
chr4	153656388	153656943	556	*	3.96	2.5	4.53	-2.02	0.00022	0.0465
chr9	40997185	40997625	441	*	3.78	2.06	4.38	-2.33	0.000226	0.0474
chr9	85671474	85672243	770	*	2.35	0.14	3.02	-2.87	0.000226	0.0474
chr5	146711716	146711942	227	*	2.29	3.28	0.35	2.93	0.000228	0.0475
chr6	41253377	41253817	441	*	3.24	4.05	2.05	2	0.000229	0.0477
chr2	70262446	70262892	447	*	2.47	-0.13	3.17	-3.3	0.000232	0.0478
chr8	70844646	70844839	194	*	3.57	1.94	4.17	-2.23	0.000232	0.0478
chr13	62956842	62957103	262	*	2.55	-0.13	3.26	-3.39	0.000232	0.0478
chr1	118571154	118571383	230	*	3.86	4.68	2.63	2.05	0.000235	0.048
chr1	189830669	189831324	656	*	3.86	4.62	2.8	1.82	0.000235	0.048
chr11	75290949	75291360	412	*	3.88	2.35	4.46	-2.11	0.000236	0.0481
chr16	77173279	77173668	390	*	2.98	0.42	3.67	-3.25	0.000238	0.0483
chr16	32683357	32683670	314	*	2.99	0.84	3.65	-2.81	0.000239	0.0483
chrX	147235953	147236311	359	*	2.47	-0.25	3.18	-3.43	0.00024	0.0484
chr2	37548555	37548978	424	*	2.71	0.37	3.39	-3.02	0.000241	0.0485
chr17	46994959	46995264	306	*	2.99	3.85	1.64	2.21	0.000243	0.0486
chr1	40585836	40586193	358	*	2.24	3.26	0.12	3.13	0.000248	0.0495
chr11	20107776	20108113	338	*	4.88	3.67	5.4	-1.73	0.000252	0.05
chr8	79514754	79514990	237	*	1.54	2.62	-1.05	3.67	0.000253	0.05
chr12	108041624	108042281	658	*	4.5	3.33	5	-1.67	0.000253	0.05
