# HOMER Differential Peaks
# Original Peak File = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1_WT_KO_merged_peaks.txt
# Peak File Tag Directory = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1WT
# Background Tag Directory = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1KO
#
# Mode = Peaks enriched over background
# Differential peaks = 1729
# Fraction of original peaks = 1.99%
# Original number of peaks = 86750
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 4.00
# Poisson p-value cutoff = 1.00e-04
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 66
# background directory tagAdjust = 190
#
# cmd = getDifferentialPeaks /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1_WT_KO_merged_peaks.txt /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1WT /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1KO
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
Merged-chr1-127412258-1	chr1	127412087	127412430	+	0.000	0.000	26.0	3.6	7.22	2.28e-14
Merged-chr1-127503928-1	chr1	127503825	127504032	+	0.000	0.000	15.5	3.8	4.08	1.11e-05
Merged-chr1-128469306-1	chr1	128469245	128469367	+	0.000	0.000	26.0	4.0	6.50	2.40e-13
Merged-chr1-130656053-1	chr1	130655963	130656144	+	0.000	0.000	22.0	4.2	5.24	8.39e-10
Merged-chr1-133602379-1	chr1	133602265	133602494	+	0.000	0.000	15.5	3.6	4.31	5.94e-06
Merged-chr1-134872932-1	chr1	134872830	134873034	+	0.000	0.000	10.5	2.0	5.25	4.65e-05
Merged-chr1-137309866-1	chr1	137309778	137309955	+	0.000	0.000	11.5	2.6	4.42	8.68e-05
Merged-chr1-139788081-1	chr1	139788010	139788153	+	0.000	0.000	10.0	0.6	16.67	9.15e-10
Merged-chr1-140301559-1	chr1	140301471	140301647	+	0.000	0.000	8.5	1.2	7.08	3.70e-05
Merged-chr1-143032444-1	chr1	143032353	143032535	+	0.000	0.000	14.0	3.4	4.12	1.36e-05
Merged-chr1-144416241-1	chr1	144416172	144416310	+	0.000	0.000	15.5	3.4	4.56	3.03e-06
Merged-chr1-147243295-1	chr1	147243156	147243434	+	0.000	0.000	11.5	1.6	7.19	1.03e-06
Merged-chr1-150700023-1	chr1	150699965	150700081	+	0.000	0.000	9.0	1.2	7.50	4.86e-06
Merged-chr1-150938432-1	chr1	150938309	150938556	+	0.000	0.000	9.5	1.0	9.50	1.13e-06
Merged-chr1-152328099-1	chr1	152327972	152328227	+	0.000	0.000	11.0	1.4	7.86	2.83e-07
Merged-chr1-153682128-1	chr1	153682018	153682239	+	0.000	0.000	14.0	3.4	4.12	1.36e-05
Merged-chr1-153956718-1	chr1	153956631	153956805	+	0.000	0.000	15.0	2.6	5.77	1.14e-07
Merged-chr1-155539877-1	chr1	155539816	155539939	+	0.000	0.000	8.0	0.8	10.00	1.87e-06
Merged-chr1-157426173-2	chr1	157425984	157426335	+	0.000	0.000	31.5	5.2	6.06	1.26e-14
Merged-chr1-157501446-1	chr1	157501386	157501507	+	0.000	0.000	11.5	2.2	5.23	1.98e-05
Merged-chr1-160650532-1	chr1	160650419	160650645	+	0.000	0.000	23.5	4.6	5.11	8.42e-10
Merged-chr1-163936087-1	chr1	163936002	163936172	+	0.000	0.000	9.5	1.6	5.94	4.54e-05
Merged-chr1-165964718-1	chr1	165964659	165964777	+	0.000	0.000	10.0	1.0	10.00	1.11e-07
Merged-chr1-166740803-1	chr1	166740711	166740896	+	0.000	0.000	13.0	2.6	5.00	3.63e-06
Merged-chr1-167043618-1	chr1	167043553	167043684	+	0.000	0.000	12.5	2.8	4.46	3.74e-05
Merged-chr1-167967147-1	chr1	167967060	167967235	+	0.000	0.000	12.5	2.0	6.25	1.37e-06
Merged-chr1-168065946-1	chr1	168065879	168066014	+	0.000	0.000	8.0	1.2	6.67	3.70e-05
Merged-chr1-168826966-1	chr1	168826896	168827037	+	0.000	0.000	14.5	2.6	5.58	6.64e-07
Merged-chr1-170455523-1	chr1	170455462	170455585	+	0.000	0.000	15.0	2.6	5.77	1.14e-07
Merged-chr1-175640581-1	chr1	175640422	175640740	+	0.000	0.000	40.5	10.0	4.05	7.36e-13
Merged-chr1-175640978-1	chr1	175640912	175641045	+	0.000	0.000	30.0	5.4	5.56	1.93e-13
Merged-chr1-176403551-1	chr1	176403490	176403612	+	0.000	0.000	8.5	1.0	8.50	1.03e-05
Merged-chr1-180892231-1	chr1	180892166	180892296	+	0.000	0.000	27.5	6.2	4.44	5.93e-10
Merged-chr1-181281136-1	chr1	181281057	181281216	+	0.000	0.000	12.5	2.6	4.81	1.84e-05
Merged-chr1-181589527-1	chr1	181589470	181589585	+	0.000	0.000	13.0	2.4	5.42	1.54e-06
Merged-chr1-183158588-1	chr1	183158529	183158647	+	0.000	0.000	7.0	1.0	7.00	8.33e-05
Merged-chr1-183764125-1	chr1	183764046	183764204	+	0.000	0.000	9.0	1.4	6.43	1.63e-05
Merged-chr1-185551005-2	chr1	185550915	185551086	+	0.000	0.000	43.0	9.4	4.57	1.22e-15
Merged-chr1-186407894-1	chr1	186407633	186408156	+	0.000	0.000	48.5	9.4	5.16	4.24e-19
Merged-chr1-189545178-1	chr1	189545054	189545302	+	0.000	0.000	10.0	1.2	8.33	5.77e-07
Merged-chr1-191293431-1	chr1	191293369	191293494	+	0.000	0.000	14.0	2.6	5.38	6.64e-07
Merged-chr2-4329039-1	chr2	4328977	4329102	+	0.000	0.000	11.5	1.8	6.39	3.13e-06
Merged-chr2-4476628-1	chr2	4476489	4476767	+	0.000	0.000	18.5	3.2	5.78	9.47e-09
Merged-chr2-4683267-1	chr2	4683202	4683332	+	0.000	0.000	11.5	1.2	9.58	6.23e-08
Merged-chr2-5216458-1	chr2	5216376	5216541	+	0.000	0.000	10.0	2.0	5.00	4.65e-05
Merged-chr2-5864363-1	chr2	5864266	5864461	+	0.000	0.000	14.5	2.6	5.58	6.64e-07
Merged-chr2-6144236-1	chr2	6144120	6144353	+	0.000	0.000	11.5	1.8	6.39	3.13e-06
Merged-chr2-7350337-1	chr2	7350212	7350463	+	0.000	0.000	14.0	3.0	4.67	3.40e-06
Merged-chr2-10347435-1	chr2	10347343	10347528	+	0.000	0.000	11.5	1.8	6.39	3.13e-06
Merged-chr2-11739022-1	chr2	11738943	11739102	+	0.000	0.000	13.5	2.8	4.82	7.91e-06
Merged-chr2-13486523-1	chr2	13486454	13486593	+	0.000	0.000	10.0	1.8	5.56	1.94e-05
Merged-chr2-14551238-1	chr2	14551180	14551296	+	0.000	0.000	10.0	2.0	5.00	4.65e-05
Merged-chr2-17867452-1	chr2	17867382	17867523	+	0.000	0.000	33.0	8.0	4.12	3.20e-11
Merged-chr2-17880197-1	chr2	17880120	17880275	+	0.000	0.000	11.0	0.8	13.75	9.68e-10
Merged-chr2-19038205-1	chr2	19038143	19038267	+	0.000	0.000	15.5	3.8	4.08	1.11e-05
Merged-chr2-19187898-1	chr2	19187842	19187954	+	0.000	0.000	8.0	0.8	10.00	1.87e-06
Merged-chr2-19311680-1	chr2	19311621	19311739	+	0.000	0.000	8.5	0.6	14.17	2.29e-07
Merged-chr2-23247105-1	chr2	23247001	23247209	+	0.000	0.000	13.0	2.6	5.00	3.63e-06
Merged-chr2-24289266-1	chr2	24289169	24289363	+	0.000	0.000	14.5	3.2	4.53	6.99e-06
Merged-chr2-25685585-1	chr2	25685450	25685720	+	0.000	0.000	16.5	3.0	5.50	1.24e-07
Merged-chr2-25769457-1	chr2	25769344	25769571	+	0.000	0.000	21.0	3.0	7.00	1.18e-11
Merged-chr2-26108701-1	chr2	26108631	26108771	+	0.000	0.000	8.0	0.6	13.33	2.29e-07
Merged-chr2-27801737-1	chr2	27801681	27801793	+	0.000	0.000	11.0	2.2	5.00	1.98e-05
Merged-chr2-27930661-1	chr2	27930579	27930744	+	0.000	0.000	18.0	2.8	6.43	1.25e-09
Merged-chr2-28155878-1	chr2	28155719	28156037	+	0.000	0.000	22.0	4.2	5.24	8.39e-10
Merged-chr2-28201531-1	chr2	28201466	28201597	+	0.000	0.000	12.0	2.4	5.00	8.46e-06
Merged-chr2-28314140-1	chr2	28314084	28314196	+	0.000	0.000	5.0	0.2	25.00	2.18e-06
Merged-chr2-29568026-1	chr2	29567948	29568105	+	0.000	0.000	17.0	3.8	4.47	5.71e-07
Merged-chr2-29718821-2	chr2	29718664	29718955	+	0.000	0.000	34.5	4.6	7.50	1.34e-18
Merged-chr2-29777420-1	chr2	29777357	29777483	+	0.000	0.000	11.5	1.4	8.21	2.83e-07
Merged-chr2-30540509-1	chr2	30540444	30540574	+	0.000	0.000	12.5	2.4	5.21	8.46e-06
Merged-chr2-30679212-1	chr2	30679153	30679272	+	0.000	0.000	18.0	3.8	4.74	1.19e-07
Merged-chr2-33720715-1	chr2	33720543	33720887	+	0.000	0.000	15.0	2.2	6.82	1.34e-08
Merged-chr2-35086154-1	chr2	35086070	35086239	+	0.000	0.000	10.0	2.0	5.00	4.65e-05
Merged-chr2-35169514-1	chr2	35169437	35169592	+	0.000	0.000	11.5	1.8	6.39	3.13e-06
Merged-chr2-35591812-2	chr2	35591607	35591954	+	0.000	0.000	24.5	4.4	5.57	6.66e-11
Merged-chr2-36084229-1	chr2	36084141	36084318	+	0.000	0.000	11.5	2.4	4.79	4.31e-05
Merged-chr2-36254661-1	chr2	36254553	36254770	+	0.000	0.000	34.0	7.2	4.72	4.49e-13
Merged-chr2-42987304-1	chr2	42987208	42987400	+	0.000	0.000	9.5	1.6	5.94	4.54e-05
Merged-chr2-45629945-1	chr2	45629795	45630095	+	0.000	0.000	18.0	1.8	10.00	1.12e-12
Merged-chr2-48520031-1	chr2	48519936	48520126	+	0.000	0.000	23.0	5.6	4.11	3.01e-08
Merged-chr2-49007317-1	chr2	49007199	49007436	+	0.000	0.000	14.5	2.8	5.18	1.56e-06
Merged-chr2-49735243-1	chr2	49735142	49735344	+	0.000	0.000	41.0	8.8	4.66	3.02e-15
Merged-chr2-49878768-1	chr2	49878713	49878823	+	0.000	0.000	11.0	2.6	4.23	8.68e-05
Merged-chr2-50451553-1	chr2	50451496	50451610	+	0.000	0.000	10.5	1.2	8.75	5.77e-07
Merged-chr2-50589386-1	chr2	50589258	50589514	+	0.000	0.000	25.0	6.2	4.03	1.11e-08
Merged-chr2-50885975-1	chr2	50885912	50886039	+	0.000	0.000	9.0	1.2	7.50	4.86e-06
Merged-chr2-51589876-1	chr2	51589811	51589941	+	0.000	0.000	11.5	1.8	6.39	3.13e-06
Merged-chr2-59771668-1	chr2	59771554	59771782	+	0.000	0.000	28.5	5.0	5.70	9.95e-13
Merged-chr2-60560004-1	chr2	60559905	60560104	+	0.000	0.000	23.5	5.4	4.35	1.57e-08
Merged-chr2-60562420-1	chr2	60562353	60562487	+	0.000	0.000	7.5	1.0	7.50	8.33e-05
Merged-chr2-60635872-1	chr2	60635782	60635963	+	0.000	0.000	9.0	1.6	5.62	4.54e-05
Merged-chr2-62344545-1	chr2	62344489	62344601	+	0.000	0.000	12.0	2.6	4.62	1.84e-05
Merged-chr2-69024885-1	chr2	69024808	69024962	+	0.000	0.000	15.5	2.8	5.54	2.87e-07
Merged-chr2-69370629-1	chr2	69370559	69370700	+	0.000	0.000	11.0	1.4	7.86	2.83e-07
Merged-chr2-70121934-1	chr2	70121836	70122033	+	0.000	0.000	12.5	2.4	5.21	8.46e-06
Merged-chr2-71807449-1	chr2	71807385	71807513	+	0.000	0.000	10.5	1.4	7.50	2.25e-06
Merged-chr2-71831477-1	chr2	71831415	71831539	+	0.000	0.000	11.0	2.0	5.50	8.31e-06
Merged-chr2-71844235-1	chr2	71844179	71844291	+	0.000	0.000	10.0	0.4	25.00	1.94e-11
Merged-chr2-71852522-1	chr2	71852428	71852616	+	0.000	0.000	6.0	0.2	30.00	7.28e-08
Merged-chr2-72438904-1	chr2	72438822	72438987	+	0.000	0.000	13.0	1.6	8.12	1.65e-08
Merged-chr2-76389927-1	chr2	76389842	76390012	+	0.000	0.000	9.5	1.6	5.94	4.54e-05
Merged-chr2-76752382-1	chr2	76752264	76752500	+	0.000	0.000	11.5	2.4	4.79	4.31e-05
Merged-chr2-77203211-2	chr2	77203085	77203319	+	0.000	0.000	27.0	5.2	5.19	1.34e-11
Merged-chr2-78100201-2	chr2	78100086	78100316	+	0.000	0.000	44.0	9.6	4.58	5.38e-16
Merged-chr2-78457333-1	chr2	78457239	78457427	+	0.000	0.000	15.0	2.0	7.50	3.87e-09
Merged-chr2-80348491-1	chr2	80348359	80348623	+	0.000	0.000	18.5	1.6	11.56	1.63e-13
Merged-chr2-81173621-1	chr2	81173554	81173688	+	0.000	0.000	15.0	2.2	6.82	1.34e-08
Merged-chr2-84126679-1	chr2	84126605	84126754	+	0.000	0.000	9.0	0.6	15.00	1.53e-08
Merged-chr2-90629756-1	chr2	90629557	90629955	+	0.000	0.000	40.0	8.8	4.55	1.42e-14
Merged-chr2-91113605-1	chr2	91113440	91113771	+	0.000	0.000	36.0	7.4	4.86	4.03e-14
Merged-chr2-92307860-1	chr2	92307748	92307973	+	0.000	0.000	14.0	3.2	4.37	6.99e-06
Merged-chr2-92942987-1	chr2	92942927	92943047	+	0.000	0.000	14.5	3.0	4.83	3.40e-06
Merged-chr2-93395174-1	chr2	93395118	93395230	+	0.000	0.000	8.5	1.2	7.08	3.70e-05
Merged-chr2-104241181-1	chr2	104241084	104241278	+	0.000	0.000	14.5	2.6	5.58	6.64e-07
Merged-chr2-104732118-1	chr2	104732045	104732191	+	0.000	0.000	13.0	3.0	4.33	1.62e-05
Merged-chr2-111754613-1	chr2	111754504	111754723	+	0.000	0.000	17.5	4.2	4.17	2.16e-06
Merged-chr2-119814578-1	chr2	119814361	119814795	+	0.000	0.000	48.5	7.2	6.74	1.00e-23
Merged-chr2-121385675-1	chr2	121385606	121385744	+	0.000	0.000	12.0	2.2	5.45	3.57e-06
Merged-chr2-122720872-1	chr2	122720753	122720992	+	0.000	0.000	29.5	6.4	4.61	5.72e-11
Merged-chr2-124843079-1	chr2	124842991	124843168	+	0.000	0.000	10.0	1.4	7.14	2.25e-06
Merged-chr2-125513090-2	chr2	125513008	125513182	+	0.000	0.000	35.5	8.2	4.33	3.31e-12
Merged-chr2-128612090-1	chr2	128612031	128612150	+	0.000	0.000	17.0	1.8	9.44	1.13e-11
Merged-chr2-129218023-1	chr2	129217942	129218105	+	0.000	0.000	14.5	3.0	4.83	3.40e-06
Merged-chr2-130728924-1	chr2	130728861	130728987	+	0.000	0.000	8.0	0.8	10.00	1.87e-06
Merged-chr2-131376324-1	chr2	131376244	131376405	+	0.000	0.000	9.5	1.6	5.94	4.54e-05
Merged-chr2-135606355-1	chr2	135606229	135606482	+	0.000	0.000	18.0	3.8	4.74	1.19e-07
Merged-chr2-135996361-1	chr2	135996282	135996440	+	0.000	0.000	31.0	6.6	4.70	5.31e-12
Merged-chr2-136249101-1	chr2	136249007	136249195	+	0.000	0.000	13.5	2.6	5.19	3.63e-06
Merged-chr2-139875506-1	chr2	139875412	139875600	+	0.000	0.000	14.5	3.2	4.53	6.99e-06
Merged-chr2-144584369-1	chr2	144584307	144584431	+	0.000	0.000	16.0	1.8	8.89	1.07e-10
Merged-chr2-146186678-1	chr2	146186598	146186759	+	0.000	0.000	14.0	1.6	8.75	1.87e-09
Merged-chr2-147439357-1	chr2	147439242	147439472	+	0.000	0.000	13.5	2.8	4.82	7.91e-06
Merged-chr2-147653279-1	chr2	147653188	147653370	+	0.000	0.000	7.0	1.0	7.00	8.33e-05
Merged-chr2-148191429-1	chr2	148191360	148191498	+	0.000	0.000	10.5	2.0	5.25	4.65e-05
Merged-chr2-153045890-3	chr2	153045704	153046091	+	0.000	0.000	103.0	18.0	5.72	3.67e-43
Merged-chr2-154672098-1	chr2	154672034	154672163	+	0.000	0.000	14.5	1.8	8.05	8.07e-09
Merged-chr2-155702507-1	chr2	155702442	155702573	+	0.000	0.000	14.5	3.0	4.83	3.40e-06
Merged-chr2-157906882-1	chr2	157906802	157906962	+	0.000	0.000	11.0	2.6	4.23	8.68e-05
Merged-chr2-158588794-1	chr2	158588722	158588866	+	0.000	0.000	13.5	3.2	4.22	3.12e-05
Merged-chr2-160327903-1	chr2	160327813	160327993	+	0.000	0.000	24.5	5.6	4.37	6.94e-09
Merged-chr2-160627479-3	chr2	160627331	160627765	+	0.000	0.000	58.5	8.2	7.13	1.36e-29
Merged-chr2-161097839-1	chr2	161097746	161097933	+	0.000	0.000	17.0	3.4	5.00	1.25e-07
Merged-chr2-164648918-1	chr2	164648834	164649003	+	0.000	0.000	13.0	2.4	5.42	1.54e-06
Merged-chr2-165348478-1	chr2	165348397	165348559	+	0.000	0.000	9.0	0.8	11.25	1.66e-07
Merged-chr2-167299499-1	chr2	167299434	167299564	+	0.000	0.000	24.5	3.0	8.17	2.58e-14
Merged-chr2-168349240-1	chr2	168349165	168349316	+	0.000	0.000	13.0	3.0	4.33	1.62e-05
Merged-chr2-168457629-1	chr2	168457528	168457731	+	0.000	0.000	11.0	2.4	4.58	4.31e-05
Merged-chr2-169779054-1	chr2	169778941	169779167	+	0.000	0.000	24.0	5.8	4.14	1.33e-08
Merged-chr2-171570666-1	chr2	171570578	171570755	+	0.000	0.000	13.5	1.8	7.50	6.34e-08
Merged-chr2-172579319-1	chr2	172579240	172579398	+	0.000	0.000	13.5	3.2	4.22	3.12e-05
Merged-chr2-172597990-1	chr2	172597922	172598058	+	0.000	0.000	12.0	2.2	5.45	3.57e-06
Merged-chr2-173033573-1	chr2	173033493	173033654	+	0.000	0.000	37.0	7.6	4.87	1.77e-14
Merged-chr2-174198780-1	chr2	174198723	174198837	+	0.000	0.000	29.0	3.0	9.67	4.30e-19
Merged-chr2-177341323-1	chr2	177341223	177341423	+	0.000	0.000	9.0	1.6	5.62	4.54e-05
Merged-chr2-178548179-1	chr2	178548081	178548278	+	0.000	0.000	16.5	2.2	7.50	1.83e-09
Merged-chr2-179601522-1	chr2	179601436	179601608	+	0.000	0.000	11.5	2.0	5.75	8.31e-06
